"LV-Nr";"Fachname";"Typ";"Vortragende";"Lehrstuhl";"Link"
"41.28982";"Luftverkehrssysteme";"VO";"Stumpf, Eike";"Lehrstuhl und Institut für Luft- und Raumfahrtsysteme (ILR)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/560527"
"12.00091";"Machine Learning for Combinatorial Optimization";"PR";"Qian, Chendi; Siraudin, Antoine Grégoire Jehan Marie";"Lehrstuhl für Maschinelles Lernen auf Graphen";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/587074"
"81.15000";"Managerial Accounting and Controlling";"VO";"Letmathe, Peter; Baria, Yashvi";"Lehrstuhl für Controlling";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/563842"
"81.15001";"Managerial Accounting and Controlling";"UE";"Baria, Yashvi";"Lehrstuhl für Controlling";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/563754"
"12.00093";"Maschinelles Lernen auf Graphen";"SE";"Morris, Christopher";"Lehrstuhl für Maschinelles Lernen auf Graphen";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/587075"
"42.00004";"Mathematical Concepts of Machine Learning";"SE";"Solowjow, Friedrich";"Lehrstuhl für Data Science im Maschinenbau";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/564101"
"12.00128";"Mathematische Heuristiken in der diskreten Optimierung";"VO";"Büsing, Christina Maria Katharina";"Lehr- und Forschungsgebiet Kombinatorische Optimierung";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/564133"
"12.00083";"Mathematische Heuristiken in der diskreten Optimierung";"UE";"Engelhardt, Felix; Lauer, Bianca";"Lehr- und Forschungsgebiet Kombinatorische Optimierung";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/563020"
"41.00147";"Mechatronische Systeme in der Fahrzeugtechnik";"UE";"Jaeger, Nils; Swierc, Daniel Ludwig; Zick, Robin Rudi";"Lehrstuhl und Institut für Kraftfahrzeuge (ika)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/560528"
"41.03896";"Mechatronische Systeme in der Fahrzeugtechnik";"VO";"Eckstein, Lutz; Pfaff, Raphael";"Lehrstuhl und Institut für Kraftfahrzeuge (ika)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/561285"
"41.31814";"Medizintechnik für Studierende der Informatik";"VO";"Radermacher, Klaus Michael";"Lehrstuhl für Medizintechnik";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/561293"
"41.29013";"Mess- und Prüfverfahren in der Textiltechnik";"UE";"Veit, Dieter";"Lehrstuhl für Textilmaschinenbau und Institut für Textiltechnik";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/561378"
"41.29014";"Mess- und Prüfverfahren in der Textiltechnik";"VO";"Veit, Dieter";"Lehrstuhl für Textilmaschinenbau und Institut für Textiltechnik";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/561910"
"12.32767";"Mikrocontrollerprogrammierung und Fehlersuche";"VU";"Stollenwerk, Andre";"Lehrstuhl für Embedded Software (Informatik 11)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/563452"
"12.00043";"Mixed Reality Lab";"PR";"Decker, Stefan Josef; Hensen, Benedikt";"Lehrstuhl für Informationssysteme und Datenbanken (Informatik 5)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/562595"
"12.24004";"Mobile Internet Technology";"VU";"Thißen, Dirk";"Lehrstuhl für Kommunikation und verteilte Systeme (Informatik 4)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/561307"
"12.45305";"Modellierung und Verifikation probabilistischer Systeme";"UE";"Mertens, Hannah; Pühl, Lisa Katharina; Quatmann, Tim";"Lehrstuhl für Softwaremodellierung und Verifikation (Informatik 2)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/560302"
"12.45304";"Modellierung und Verifikation probabilistischer Systeme";"VO";"Katoen, Joost-Pieter; Quatmann, Tim";"Lehrstuhl für Softwaremodellierung und Verifikation (Informatik 2)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/561324"
"12.00103";"Near-term Quantum Computation";"UE";"Bluhm, Jörg Hendrik; Stollenwerk, Tobias";"Lehrstuhl für Experimentalphysik und II. Physikalisches Institut";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/562681"
"12.00112";"Near-term Quantum Computation";"VO";"Bluhm, Jörg Hendrik; Stollenwerk, Tobias";"Lehrstuhl für Experimentalphysik und II. Physikalisches Institut";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/564111"
"12.00021";"Network Analytics";"PR";"Schaub, Michael Thomas";"Lehrstuhl für Computational Network Science";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/586666"
"12.00119";"Neural Networks for Sequence Modeling";"VO";"Schlüter, Ralf; Zeyer, Albert";"Lehrstuhl für Maschinelles Lernen und Inferenz (Informatik 6)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/587386"
"12.00120";"Neural Networks for Sequence Modeling";"UE";"Schlüter, Ralf; Zeyer, Albert";"Lehrstuhl für Maschinelles Lernen und Inferenz (Informatik 6)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/587388"
"12.00027";"Object-Centric Process Mining";"SE";"van der Aalst, Willibrordus Martinus Pancratius; Liß, Lukas";"Lehrstuhl für Process and Data Science (Informatik 9)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/563737"
"81.38477";"Operations Research 2";"VO";"Lübbecke, Marco";"Lehrstuhl für Operations Research";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/560960"
"81.38478";"Operations Research 2";"UE";"Lübbecke, Marco";"Lehrstuhl für Operations Research";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/561696"
